reference,title,count
5898,2,JOHANNES Papoli
24965,2,JOHANNES Potage junior 
5925,2,JOHANNES Praepositi 1
13438,2,JOHANNES Pugnantis
13456,2,JOHANNES Sauvage
7540,2,JOHANNES Stelczlini 
13363,2,JOHANNES Stojkovic de Ragusa
5975,2,JOHANNES Thome 2
13462,2,JOHANNES Toustain
5980,2,JOHANNES Troismanses
5981,2,JOHANNES Troullet
12701,2,JOHANNES Turquan
7614,2,JOHANNES Vilevelt
5993,2,JOHANNES Voignon
13657,2,JOHANNES Zande de Campen
6007,2,JOHANNES de Aerle
25877,2,JOHANNES de Ambasia 1
7733,2,JOHANNES de Arceis
22256,2,JOHANNES de Baudevilla
6027,2,JOHANNES de Belvaco
22273,2,JOHANNES de Botonno
22341,2,JOHANNES de Buyssi
15559,2,JOHANNES de Caron
7866,2,JOHANNES de Castro Theodorici
6056,2,JOHANNES de Chambon
6061,2,JOHANNES de Chemeio
22412,2,JOHANNES de Crussy
6078,2,JOHANNES de Dierrey
24990,2,JOHANNES de Dulcimesnillo
25537,2,JOHANNES de Espallone 1
6093,2,JOHANNES de Forceville
12605,2,JOHANNES de Fraxinis
8007,2,JOHANNES de Guingnicurte
8008,2,JOHANNES de Guisia
6115,2,JOHANNES de Hassia
8046,2,JOHANNES de Hoekelem
8094,2,JOHANNES de Latigniaco
8088,2,JOHANNES de Layo
23496,2,JOHANNES de Montjeu
13345,2,JOHANNES de Morhangia
13348,2,JOHANNES de Nibat
25029,2,JOHANNES de Puteo 2
12521,2,JOHANNES de Rochois
6201,2,JOHANNES de Sanctineo
13360,2,JOHANNES de Sanctis 2
8152,2,JOHANNES de Sancto Michaele
6204,2,JOHANNES de Savigni
6209,2,JOHANNES de Simonia
6210,2,JOHANNES de Solaris
8556,2,LAMBERTUS de Torpt de Dyest
15568,2,LAMBERTUS de Villiers
23566,2,LAURENTIUS Le Gay
8597,2,LAURENTIUS Probihominis
15450,2,LEONETUS Grimault
8691,2,LEONIUS de Beke
8795,2,MARCUS de Mediolano
8807,2,MARQUETUS de Noa
15499,2,MARTINUS 6
12534,2,MARTINUS Ronceray
8887,2,MATTHIAS Dartzant
13773,2,MAURITIUS de Liefkemrode
9014,2,MICHAEL de Pratis
16183,2,MILO d’Illiers
9193,2,NICOLAUS Bavaria
15014,2,NICOLAUS Bruyere
9221,2,NICOLAUS Charentonii
12491,2,NICOLAUS Fayelli
9257,2,NICOLAUS Grenier
26110,2,NICOLAUS Grosetyle de Prusia
9274,2,NICOLAUS Jacobi de Goch
9107,2,NICOLAUS Johannis 1
9279,2,NICOLAUS Johannis de Haerlem
21951,2,NICOLAUS Le Dur
23984,2,NICOLAUS Morel
9127,2,NICOLAUS de Alodio
9424,2,NICOLAUS de Costa
9461,2,NICOLAUS de Kungisteyn
9469,2,NICOLAUS de Lutzenburch
9483,2,NICOLAUS de Pritzwalk de Saxe
9486,2,NICOLAUS de Rancia
9523,2,NICOLAUS de Westerborch
17027,2,PANTALEON de Memmingen
9703,2,PAULUS de Furvo
9768,2,PETRUS Baudini de Villaribus
23568,2,PETRUS Boquet
15090,2,PETRUS Camdunt
10324,2,PETRUS Dauzai
13592,2,PETRUS Falconis
12520,2,PETRUS Fulconis alias de Sallis
23421,2,PETRUS Michel	1
15133,2,PETRUS Muri
10174,2,PETRUS Prutenus
25735,2,PETRUS Segardi
15154,2,PETRUS Vimont
10012,2,PETRUS de Agnevilla
25570,2,PETRUS de Brandenbourgh
10105,2,PETRUS de Duroforti
13606,2,PETRUS de Hodenc
10143,2,PETRUS de Monikendam
13588,2,PETRUS de Savigniaco
26196,2,PETRUS de Virey
12656,2,PHILIBERTUS de Cruce
10260,2,PHILIPPUS Bajuli
15070,2,PHILIPPUS Fleuri
10238,2,PHILIPPUS Lapidarii
10304,2,PHILIPPUS de Molinis
10310,2,PHILIPPUS de Trenello
10587,2,RADULPHUS Prepositi 1
10592,2,RADULPHUS de Bosco 1
10544,2,RADULPHUS de Rivo
24033,2,RAIMUNDUS 2
10633,2,RAIMUNDUS de Altoponte
10572,2,RAMBRANDUS de Nycolai
13662,2,REGINALDUS Agni
10717,2,REGINALDUS Raffi
10681,2,REGINALDUS de Vaccaria
24987,2,ROBERTUS Fleury
12576,2,ROBERTUS Jolivet
15468,2,ROBERTUS Kahardie
24908,2,ROBERTUS Reginaldi
11694,2,SIMON Aligret
11366,2,SIMON Bardelli
11431,2,SIMON de Bosco
11453,2,SIMON de Cremona
11524,2,SIMON de Henecourt
13697,2,STEPHANUS Arpentis
11550,2,STEPHANUS Avole
11567,2,STEPHANUS Canon
13700,2,STEPHANUS Escaillart
12706,2,STEPHANUS Gerardi
20296,2,STEPHANUS d'Ulmont
15207,2,TEODERICUS Caprioli de Girarvillari
11965,2,THOMAS Renardi
17498,2,VINCENTIUS Curier
17500,2,VINCENTIUS Veranneman
12219,2,WALINGHUS de Oudewater
23350,2,X Guymas
23345,2,X La Lorayne
12711,2,YONIUS Gazeau
12442,2,ZENO Petri de Campis
